Version ,Code change,Metric 5,Lines of code,Bugs ,Metric 6
3.8,1349,91.49,76783,3,0.03907114856
3.8.1,0,78,76783,4,0.05209486475
3.7,3027,108.27,75957,14,0.1843148097
3.6,7695,154.95,75439,11,0.1458131736
3.5,17465,252.65,72521,25,0.344727734
3.4,4087,118.87,66045,52,0.7873419638
3.3,2623,104.23,63561,5,0.07866458992
3.3.2 ,56,78.56,63611,32,0.5030576473
3.3.1,163,79.63,63587,2,0.03145296995
3.2.1,61,78.61,61616,9,0.1460659569
