Version ,Code change,Metric 5,Lines of code,Bugs ,Metric 6
4.3,979,87.79,62869,4,0.06362436177
4.2,4920,127.2,62662,3,0.04787590565
4.1,10432,182.32,60733,13,0.2140516688
3.2.2,907,87.07,56134,6,0.1068870916
3.2.1,5,78.05,55398,30,0.5415357955
