Version ,Code change,Metric 5,Lines of code,Bugs ,Metric 6
1.0.1,308,81.08,1153,5,4.336513443
1.0.2 ,43,78.43,1171,2,1.70794193
1.0.3 ,1105,89.05,1964,8,4.073319756
1.0.4 ,993,87.93,2750,22,8
1.1.0 ,4172,119.72,5006,8,1.598082301
1.1.1 ,568,83.68,5426,12,2.211573903
1.1.2,5806,136.06,5426,1,0.1842978253
